# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep 21 22:34:22 2020
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbper < 10
# CONSTRAINT:  and pl_radj > .7)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [decimal]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [decimal]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_bmagerr1:    B (Johnson) Magnitude Upper Unc
# COLUMN sy_bmagerr2:    B (Johnson) Magnitude Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_jmag:        J (2MASS) Magnitude
# COLUMN sy_jmagerr1:    J (2MASS) Magnitude Upper Unc
# COLUMN sy_jmagerr2:    J (2MASS) Magnitude Lower Unc
# COLUMN sy_hmag:        H (2MASS) Magnitude
# COLUMN sy_hmagerr1:    H (2MASS) Magnitude Upper Unc
# COLUMN sy_hmagerr2:    H (2MASS) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
CoRoT-8 b,CoRoT-8,0,1,1,Transit,2010,CoRoT,Published Confirmed,0,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,6.21229000,0.00003000,-0.00003000,0,0.063300,0.002100,-0.002100,0,7.981,0.942,-0.942,0,0.712,0.084,-0.084,0,68.65128,11.44188,-11.44188,0,0.21600,0.03600,-0.03600,0,Mass,,,,,,,,,922,41,-41,0,0,<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,5080.00,80.00,-80.00,0,0.90,0.09,-0.09,0,0.88,0.09,-0.09,0,0.310,0.050,-0.050,0,[Fe/H],4.47,0.08,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m21.26s,291.5885696,+01d25m34.67s,1.4262972,322.0370000,2.7140000,-2.7140000,16.0050000,0.0640000,-0.0640000,14.7920000,0.0340000,-0.0340000,12.1540000,0.0230000,-0.0230000,11.6410000,0.0240000,-0.0240000,11.4630000,0.0210000,-0.0210000,14.2195000,0.0002620,-0.0002620,2016-01-12 18:07:06,2011-11,2016-01-14
K2-97 b,K2-97,0,1,1,Transit,2016,K2,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,8.40527600,0.00116000,-0.00116600,0,,,,,8.043,1.425,-0.979,0,0.718,0.127,-0.087,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,4836.00,50.00,-50.00,0,2.95,0.37,-0.30,0,1.05,0.09,-0.07,0,0.270,0.080,-0.080,0,[Fe/H],3.50,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h31m03.08s,127.7628370,+10d50m51.21s,10.8475571,878.4300000,49.9400000,-49.9400000,13.7750000,0.0170000,-0.0170000,12.4860000,0.0920000,-0.0920000,10.6940000,0.0230000,-0.0230000,10.1770000,0.0230000,-0.0230000,10.0350000,0.0210000,-0.0210000,12.3059000,0.0002200,-0.0002200,2018-10-24 14:52:04,2018-03,2018-02-15
K2-281 b,K2-281,0,1,1,Transit,2018,K2,Published Candidate,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,8.68770800,0.00014700,-0.00014600,0,,,,,8.100,1.100,-1.100,0,0.720,0.100,-0.100,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=PETIGURA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...21P/abstract target=ref>Petigura et al. 2018</a>,,,,,0.75,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h04m54.59s,16.2274724,+07d16m09.18s,7.2692169,458.1390000,7.7240000,-7.7240000,16.2180000,0.0500000,-0.0500000,15.0480000,0.0920000,-0.0920000,13.1950000,0.0240000,-0.0240000,12.6260000,0.0240000,-0.0240000,12.5230000,0.0290000,-0.0290000,14.7677000,0.0005240,-0.0005240,2017-12-14,2018-01,2017-12-14
K2-97 b,K2-97,0,1,1,Transit,2016,K2,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,8.40527600,0.00116000,-0.00116600,0,,,,,8.043,1.425,-0.979,0,0.720,0.130,-0.090,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,4836.00,50.00,-50.00,0,2.95,0.37,-0.30,0,,,,,0.270,0.080,-0.080,0,[Fe/H],3.50,0.10,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h31m03.08s,127.7628370,+10d50m51.21s,10.8475571,878.4300000,49.9400000,-49.9400000,13.7750000,0.0170000,-0.0170000,12.4860000,0.0920000,-0.0920000,10.6940000,0.0230000,-0.0230000,10.1770000,0.0230000,-0.0230000,10.0350000,0.0210000,-0.0210000,12.3059000,0.0002200,-0.0002200,2018-02-15,2018-03,2018-02-15
HATS-72 b,HATS-72,1,1,1,Transit,2020,HATSouth,Published Confirmed,0,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,7.32794740,0.00000160,-0.00000160,0,0.066517,0.000085,-0.000085,0,8.097,0.036,-0.036,0,0.722,0.003,-0.003,0,39.85588,1.23954,-1.23954,0,0.12540,0.00390,-0.00390,0,Mass,0.013000,,,1,49.58,0.44,-0.43,0,739,2,-2,0,0,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>,4656.10,8.90,-8.90,0,0.72,0.00,0.00,0,0.73,0.00,0.00,0,0.099,0.014,-0.014,0,[Fe/H],4.59,0.00,0.00,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h36m06.20s,339.0258401,-17d00m01.10s,-17.0003046,127.5890000,0.6115000,-0.6115000,13.5950000,0.0430000,-0.0430000,12.3240000,0.0460000,-0.0460000,10.4240000,0.0230000,-0.0230000,9.9070000,0.0260000,-0.0260000,9.7640000,0.0210000,-0.0210000,12.0725000,0.0002780,-0.0002780,2020-02-21 17:10:23,2020-04,2020-02-27
WASP-148 b,WASP-148,1,1,2,Transit,2020,SuperWASP-North,Published Confirmed,0,<a refstr=HEBRARD_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200414645H/abstract target=ref>Hebrard et al. 2020</a>,8.80381000,0.00004300,-0.00004300,0,0.084500,0.002200,-0.002200,0,8.093,0.616,-0.616,0,0.722,0.055,-0.055,0,92.48853,7.94575,-7.94575,0,0.29100,0.02500,-0.02500,0,Mass,0.220000,0.063000,-0.063000,0,,,,,940,80,-80,0,1,<a refstr=HEBRARD_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020arXiv200414645H/abstract target=ref>Hebrard et al. 2020</a>,5460.00,130.00,-130.00,0,1.03,0.20,-0.20,0,1.00,0.08,-0.08,0,0.110,0.080,-0.080,0,[Fe/H],4.40,0.15,-0.15,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h56m31.32s,254.1305022,+44d18m09.13s,44.3025361,246.3530000,1.5650000,-1.5650000,13.3000000,0.4240000,-0.4240000,12.0360000,0.0500000,-0.0500000,10.9380000,0.0240000,-0.0240000,10.5850000,0.0180000,-0.0180000,10.5060000,0.0170000,-0.0170000,12.0845000,0.0002750,-0.0002750,2020-07-02 02:54:01,2020-04,2020-07-09
HD 149026 b,HD 149026,0,1,1,Radial Velocity,2005,Subaru Telescope,Published Confirmed,0,<a refstr=SATO_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...633..465S/abstract target=ref> Sato et al. 2005 </a>,2.87660000,0.00100000,-0.00100000,0,0.042000,,,0,8.127,0.560,-0.560,0,0.725,0.050,-0.050,0,114.80000,9.57000,-9.57000,0,0.36000,0.03000,-0.03000,0,Msin(i)/sin(i),0.000000,,,0,,,,,,,,,0,<a refstr=SATO_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...633..465S/abstract target=ref> Sato et al. 2005 </a>,6147.00,50.00,-50.00,0,1.45,0.10,-0.10,0,1.30,0.10,-0.10,0,0.360,0.050,-0.050,0,[Fe/H],4.26,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h30m29.52s,247.6229827,+38d20m51.13s,38.3475349,75.8643000,0.1736500,-0.1736500,8.7530000,0.0260000,-0.0260000,8.1500000,0.0300000,-0.0300000,7.1180000,0.0240000,-0.0240000,6.8990000,0.0180000,-0.0180000,6.8190000,0.0170000,-0.0170000,8.0141600,0.0003820,-0.0003820,2018-04-25 14:05:17,2005-11,2014-10-15
K2-19 b,K2-19,0,1,3,Transit,2015,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,7.91952000,0.00005400,-0.00005400,0,,,,,8.200,1.500,-1.500,0,0.730,0.130,-0.130,0,,,,,,,,,,,,,,,,,,,,,,1,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,5748.00,245.00,-245.00,0,1.01,0.19,-0.19,0,,,,,,,,,,4.43,0.13,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h39m50.46s,174.9602543,+00d36m12.95s,0.6035960,289.8270000,5.5745000,-5.5745000,13.7980000,0.0200000,-0.0200000,13.0240000,0.0920000,-0.0920000,11.5960000,0.0240000,-0.0240000,11.2080000,0.0220000,-0.0220000,11.1610000,0.0260000,-0.0260000,12.8153000,0.0004550,-0.0004550,2016-07-18,2016-09,2016-07-18
K2-281 b,K2-281,1,1,1,Transit,2018,K2,Published Confirmed,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,8.68772100,0.00015100,-0.00015000,0,0.077300,0.000800,-0.000800,0,8.180,0.210,-0.210,0,0.730,0.019,-0.019,0,,,,,,,,,,,,,,,,,,665,12,-12,0,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,4812.00,72.00,-72.00,0,0.76,0.01,-0.01,0,0.82,0.03,-0.03,0,0.220,0.050,-0.050,0,[Fe/H],4.59,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h04m54.59s,16.2274724,+07d16m09.18s,7.2692169,458.1390000,7.7240000,-7.7240000,16.2180000,0.0500000,-0.0500000,15.0480000,0.0920000,-0.0920000,13.1950000,0.0240000,-0.0240000,12.6260000,0.0240000,-0.0240000,12.5230000,0.0290000,-0.0290000,14.7677000,0.0005240,-0.0005240,2018-10-24 14:52:54,2018-12,2018-10-26
K2-19 b,K2-19,0,1,3,Transit,2015,K2,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,7.91952000,0.00005400,-0.00005400,0,0.077500,0.002600,-0.002600,0,8.200,1.500,-1.500,0,0.732,0.134,-0.134,0,,,,,,,,,,,,,,165.00,70.00,-70.00,0,,,,,1,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,5748.00,245.00,-245.00,0,1.01,0.19,-0.19,0,0.99,0.10,-0.10,0,,,,,,4.43,0.13,-0.13,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h39m50.46s,174.9602543,+00d36m12.95s,0.6035960,289.8270000,5.5745000,-5.5745000,13.7980000,0.0200000,-0.0200000,13.0240000,0.0920000,-0.0920000,11.5960000,0.0240000,-0.0240000,11.2080000,0.0220000,-0.0220000,11.1610000,0.0260000,-0.0260000,12.8153000,0.0004550,-0.0004550,2016-07-14 16:03:43,2016-09,2016-07-18
