# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Sep 17 13:24:25 2020
#
# CONSTRAINT:  where (ismostprecise = 1)
#
# COLUMN planetname:     Data Source Planet Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN obsname:        Observatory Name
# COLUMN reflink:        Reference
# COLUMN algorithm:      Algorithm
# COLUMN isdefault:      Default Parameters Flag
# COLUMN ismostprecise:  Most-Precise Flag
# COLUMN phase:          Phase
# COLUMN period:         Period [days]
# COLUMN transitduration: Transit Duration [hours]
# COLUMN transitdepthdb: Transit Depth - Measured [percent]
# COLUMN transitdepthcalc: Transit Depth - Calculated [percent]
# COLUMN ttv:            TTV flag
# COLUMN midpointcalendar: Event Midpoint Calendar UT
# COLUMN propmidpointunc: Propagated Midpoint Uncertainty [days]
# COLUMN midpointairmass: Event Midpoint Airmass
# COLUMN targetobsstartcalendar: Target Observability Start Calendar UT
# COLUMN targetobsendcalendar: Target Observability End Calendar UT
# COLUMN fractionobservable: Event Fraction Observable
#
planetname,ra_str,ra,dec_str,dec,obsname,reflink,algorithm,isdefault,ismostprecise,phase,period,transitduration,transitdepthdb,transitdepthcalc,ttv,midpointcalendar,propmidpointunc,midpointairmass,targetobsstartcalendar,targetobsendcalendar,fractionobservable
WASP-76 b,01h46m31.86s,26.632746,02d42m01.94s,2.700539,Mauna Kea,<a refstr=WEST_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.126W/abstract target=ref>West et al. 2016</a>,Transit Ephemeris,1,1,0.000000,1.809886,3.693600,1.189000,1.181628,0,09/21/2020 13:49,0.002001,1.161940,09/21/2020 07:24,09/21/2020 15:22,0.923
WASP-76 b,01h46m31.86s,26.632746,02d42m01.94s,2.700539,Mauna Kea,<a refstr=WEST_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.126W/abstract target=ref>West et al. 2016</a>,Transit Ephemeris,1,1,0.000000,1.809886,3.693600,1.189000,1.181628,0,09/23/2020 09:15,0.002002,1.369220,09/23/2020 07:16,09/23/2020 15:22,1.000
WASP-76 b,01h46m31.86s,26.632746,02d42m01.94s,2.700539,Mauna Kea,<a refstr=WEST_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.126W/abstract target=ref>West et al. 2016</a>,Transit Ephemeris,1,1,0.000000,1.809886,3.693600,1.189000,1.181628,0,09/30/2020 15:00,0.002006,1.708010,09/30/2020 06:48,09/30/2020 15:25,0.612
WASP-76 b,01h46m31.86s,26.632746,02d42m01.94s,2.700539,Mauna Kea,<a refstr=WEST_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.126W/abstract target=ref>West et al. 2016</a>,Transit Ephemeris,1,1,0.000000,1.809886,3.693600,1.189000,1.181628,0,10/02/2020 10:26,0.002007,1.076780,10/02/2020 06:40,10/02/2020 15:24,1.000
WASP-76 b,01h46m31.86s,26.632746,02d42m01.94s,2.700539,Mauna Kea,<a refstr=WEST_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.126W/abstract target=ref>West et al. 2016</a>,Transit Ephemeris,1,1,0.000000,1.809886,3.693600,1.189000,1.181628,0,10/11/2020 11:37,0.002012,1.072250,10/11/2020 06:05,10/11/2020 15:27,1.000
WASP-76 b,01h46m31.86s,26.632746,02d42m01.94s,2.700539,Mauna Kea,<a refstr=WEST_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.126W/abstract target=ref>West et al. 2016</a>,Transit Ephemeris,1,1,0.000000,1.809886,3.693600,1.189000,1.181628,0,10/13/2020 07:03,0.002013,1.748560,10/13/2020 05:57,10/13/2020 15:19,0.799
WASP-76 b,01h46m31.86s,26.632746,02d42m01.94s,2.700539,Mauna Kea,<a refstr=WEST_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.126W/abstract target=ref>West et al. 2016</a>,Transit Ephemeris,1,1,0.000000,1.809886,3.693600,1.189000,1.181628,0,10/20/2020 12:48,0.002017,1.349060,10/20/2020 05:30,10/20/2020 14:52,1.000
WASP-76 b,01h46m31.86s,26.632746,02d42m01.94s,2.700539,Mauna Kea,<a refstr=WEST_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.126W/abstract target=ref>West et al. 2016</a>,Transit Ephemeris,1,1,0.000000,1.809886,3.693600,1.189000,1.181628,0,10/22/2020 08:15,0.002018,1.172280,10/22/2020 05:22,10/22/2020 14:44,1.000
WASP-76 b,01h46m31.86s,26.632746,02d42m01.94s,2.700539,Mauna Kea,<a refstr=WEST_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.126W/abstract target=ref>West et al. 2016</a>,Transit Ephemeris,1,1,0.000000,1.809886,3.693600,1.189000,1.181628,0,10/29/2020 14:00,0.002022,2.524100,10/29/2020 04:54,10/29/2020 14:16,0.575
WASP-76 b,01h46m31.86s,26.632746,02d42m01.94s,2.700539,Mauna Kea,<a refstr=WEST_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.126W/abstract target=ref>West et al. 2016</a>,Transit Ephemeris,1,1,0.000000,1.809886,3.693600,1.189000,1.181628,0,10/31/2020 09:26,0.002023,1.045970,10/31/2020 04:46,10/31/2020 14:08,1.000
